id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours
1,CALLER_1,163,Billing discrepancy,122.0,CLOSED,33.0
2,CALLER_2,133,Difficulty reaching customer support,133.0,new,pending
3,CALLER_3,153,Wrong item received,122.0,resolved,pending
4,CALLER_4,161,Unauthorized charges,151.0,pEnding,pending
5,CALLER_5,148,Unprofessional behavior,148.0,new,pending
6,CALLER_6,157,Inadequate product instructions,125.0,CLOSED,18.0
7,CALLER_7,179,Unsatisfactory resolution,125.0,resolved,pending
8,CALLER_8,171,Rude customer service representative,171.0,pending,pending
9,CALLER_9,161,Website not working,161.0,new,pending
10,CALLER_10,159,Product damaged during shipping,135.0,resolved,pending
11,CALLER_11,147,Inadequate product instructions,133.0,closed,18.0
12,CALLER_12,143,Inaccurate information provided,122.0,pending,pending
13,CALLER_13,124,Slow response time,132.0,resolved,pending
14,CALLER_14,151,Unsatisfactory resolution,136.0,resolved,pending
15,CALLER_15,171,Slow response time,171.0,new,pending
16,CALLER_16,131,Difficulty getting a refund,169.0,pEnding,pending
17,CALLER_17,179,Long wait time,155.0,CLOSED,44.0
18,CALLER_18,130,Website not working,155.0,CLOSED,13.0
19,CALLER_19,159,Shipping delay,159.0,CLOSED,32.0
20,CALLER_20,131,Misplaced order,131.0,closed,44.0
21,CALLER_21,121,Unprofessional behavior,121.0,new,pending
22,CALLER_22,121,Refund not processed,133.0,resolved,pending
23,CALLER_23,177,Unprofessional behavior,158.0,new,pending
24,CALLER_24,173,Shipping delay,137.0,resolved,pending
25,CALLER_25,162,Package never arrived,162.0,CLOSED,17.0
26,CALLER_26,124,Lack of follow-up,143.0,new,pending
27,CALLER_27,168,Lack of follow-up,166.0,pending,pending
28,CALLER_28,146,Billing discrepancy,133.0,pending,pending
29,CALLER_29,151,Product not as described,173.0,closed,26.0
30,CALLER_30,172,Long wait time,133.0,CLOSED,35.0
31,CALLER_31,161,Unsatisfactory resolution,179.0,CLOSED,14.0
32,CALLER_32,157,Lack of follow-up,157.0,new,pending
33,CALLER_33,138,Incorrect charges,138.0,resolved,pending
34,CALLER_34,142,Product damaged during shipping,140.0,closed,27.0
35,CALLER_35,123,Unauthorized charges,123.0,pending,pending
36,CALLER_36,180,Incorrect order,167.0,pEnding,pending
37,CALLER_37,135,Incorrect charges,145.0,closed,26.0
38,CALLER_38,179,Unauthorized charges,143.0,pending,pending
39,CALLER_39,129,Rude customer service representative,129.0,pending,pending
40,CALLER_40,122,Rude customer service representative,146.0,new,pending
41,CALLER_41,159,Poor communication,144.0,pEnding,pending
42,CALLER_42,156,Website not working,156.0,pending,pending
43,CALLER_43,144,Poor communication,161.0,pending,pending
44,CALLER_44,171,Difficulty reaching customer support,177.0,resolved,pending
45,CALLER_45,172,Lost package,172.0,closed,36.0
46,CALLER_46,156,Difficulty reaching customer support,141.0,closed,38.0
47,CALLER_47,172,Difficulty cancelling subscription,172.0,resolved,pending
48,CALLER_48,135,Difficulty reaching customer support,135.0,pending,pending
49,CALLER_49,171,Inadequate product instructions,171.0,closed,18.0
50,CALLER_50,160,Product not as described,172.0,pEnding,pending
51,CALLER_51,180,Unsatisfactory resolution,180.0,CLOSED,30.0
52,CALLER_52,160,Website not working,160.0,CLOSED,41.0
53,CALLER_53,158,Slow response time,158.0,pEnding,pending
54,CALLER_54,167,Long wait time,167.0,closed,31.0
55,CALLER_55,157,Shipping delay,157.0,CLOSED,13.0
56,CALLER_56,133,Package never arrived,133.0,CLOSED,29.0
57,CALLER_57,176,Incorrect order,132.0,resolved,pending
58,CALLER_58,177,Package never arrived,177.0,closed,3.0
59,CALLER_59,132,Product damaged during shipping,124.0,CLOSED,4.0
60,CALLER_60,163,Package delivered to wrong address,163.0,new,pending
61,CALLER_61,177,Unauthorized charges,177.0,closed,41.0
62,CALLER_62,140,Website not working,140.0,pEnding,pending
63,CALLER_63,152,Shipping delay,158.0,pEnding,pending
